COUNTRY_CODE,station_count,avg_lat,avg_lon
TI,62,38.58783548387096,70.07416451612904
CA,9214,49.73892361623617,-95.54653316691991
SW,1640,60.740368048780496,15.956742560975608
GH,18,7.050055555555556,-1.0850555555555559
GM,1090,50.69478027522934,10.074895963302751
AR,101,-34.4409900990099,-63.05464356435644
SU,28,13.915285714285714,31.523321428571425
NL,362,52.209119337016574,5.441606629834254
BC,20,-22.7039,24.287849999999995
WA,283,-22.843204946996476,17.44408480565371
NU,6,12.580716666666667,-86.08638333333333
GG,103,42.14749611650485,43.38668640776699
AJ,66,40.20028333333334,47.60634393939394
IN,3807,20.951074336748093,79.32257788284738
EN,46,58.768271739130434,24.892173913043482
SP,207,40.40573285024156,-1.7385115942028988
AM,53,40.355924528301884,44.795775471698114
VE,107,8.70448598130841,-67.58979439252337
NO,426,62.60774436619719,10.722596713615026
JA,197,34.7974964467005,136.2620771573604
PE,25,-9.64332,-75.95064
RQ,260,18.22965769230769,-66.4413026923077
MX,5249,21.751809316060196,-100.96143667365213
MZ,19,-18.768421052631577,36.08384210526316
UG,8,0.8665,31.63125
CH,228,35.09766052631579,109.27126447368421
TD,4,10.75825,-61.2541
TU,58,39.17241206896552,34.767631034482754
AG,85,34.064147058823536,3.3086894117647057
LH,22,55.341477272727275,23.219540909090906
SI,20,46.12224,14.702829999999997
ZA,19,-13.927157894736844,27.295631578947365
CF,17,-1.9218823529411764,14.758470588235294
KS,52,36.960036538461544,127.63821730769232
BR,5989,-15.482717098013024,-45.71862118884622
IS,10,31.677750000000003,34.95854
TH,54,14.462027777777779,101.06109444444445
ES,3,13.532333333333334,-88.92666666666666
AS,17072,-30.77371042642924,141.63187819821928
EZ,12,49.890816666666666,14.99965
CT,17,5.946588235294118,19.910294117647055
CE,6,7.337166666666666,80.52483333333335
MG,41,47.472170731707315,103.79102439024389
ID,104,-3.0101442307692308,117.04852884615386
US,74236,38.61501828492915,-95.72203135406002
IR,35,33.349599999999995,51.98337142857143
GL,59,68.90201694915254,-49.51273728813558
LT,4,-29.529999999999998,27.875
SF,1166,-29.412852487135506,26.112151801029167
FJ,25,-17.437231999999998,106.694452
MD,18,47.13344444444445,28.58811111111111
UP,204,48.49416764705882,31.30010294117647
RP,34,13.93318529411765,122.28733235294118
KZ,329,48.05882857142857,68.38265592705167
SY,12,34.97275833333334,37.40595
MA,25,-18.358839999999997,47.32887999999999
TX,57,38.735310526315786,58.9040350877193
BG,10,23.6147,90.46209999999999
NI,10,8.6616,8.036900000000001
BN,9,8.925777777777776,2.4337777777777783
RS,1123,56.13920792520037,80.0410657168299
IT,103,44.33238932038836,11.825892233009707
RO,30,45.71365666666667,25.257890000000007
VM,50,14.256430000000002,107.177948
NZ,14,-41.66235714285714,122.6105
HR,14,44.56071428571429,16.17102857142857
PO,26,38.90601923076924,-12.829115384615385
LG,32,56.999865625000005,24.246237500000003
UZ,78,40.66837051282051,66.63673333333332
FI,835,63.152953413173655,25.586746107784425
UK,156,53.4969153846154,-2.020415384615385
TS,13,35.75943846153846,9.90153846153846
AF,4,33.898250000000004,66.57675
VQ,77,18.004349350649353,-64.80999090909091
MU,28,21.87017857142857,57.026750000000014
WZ,6,-26.60716666666667,31.406666666666666
BL,36,-16.75219444444444,-64.51663888888889
KG,73,41.635563013698636,74.41287671232875
RM,21,8.715585714285716,168.43982380952383
BF,72,24.848183333333324,-76.58948055555555
MI,20,-13.727699999999999,34.424949999999995
AY,51,-70.92419803921568,4.96178823529412
PK,35,30.873714285714282,70.3493142857143
UY,149,-32.14151006711409,-56.201523489932875
PA,24,-24.413875000000004,-57.23795833333333
LY,28,30.58818214285714,16.437392857142857
BO,51,53.63307254901961,27.543396078431375
MP,5,-17.459799999999994,58.993399999999994
AO,6,-13.480500000000001,15.35
MJ,8,42.8018375,19.2432625
NG,18,14.288222222222222,7.775944444444445
BD,2,32.3167,-64.76665
FR,111,45.85663603603602,3.4661783783783786
SG,14,14.350142857142854,-15.568714285714282
PL,10,52.4985,19.49971
CO,27,6.515037037037037,-75.04048148148148
CI,21,-34.98441428571429,-73.64760476190477
ML,19,14.612842105263159,-5.323210526315789
TO,10,8.6397,0.9600000000000002
GQ,34,13.416761764705885,144.74243235294117
PS,13,6.967261538461538,134.18916153846152
CG,13,-5.098923076923077,18.307846153846153
TV,2,-7.092,177.675
GR,27,37.815814814814814,23.472940740740743
JO,5,31.6512,36.5706
KE,10,0.1656999999999999,37.9775
EG,22,28.82363181818181,30.597513636363637
FM,38,7.222023684210526,151.19833684210525
HO,8,15.242337500000001,-86.4609125
SA,31,24.56668709677419,42.657
AU,13,47.560199999999995,14.255184615384618
EI,14,53.16567142857143,-7.970585714285714
AQ,21,-14.12635238095238,-170.45504285714287
AE,4,24.82075,55.285250000000005
JQ,4,16.7333,-169.52085
CD,14,12.453357142857143,17.961714285714283
CM,5,7.1514,12.929399999999998
UV,13,12.205615384615383,-1.3373846153846154
HU,10,47.01656,19.423409999999997
ET,15,9.256599999999999,39.293533333333336
BK,6,43.92241666666666,18.00108333333333
WF,2,-13.775,-177.142
TZ,14,-5.170642857142858,36.13157142857143
LE,8,34.10725,35.9118
IV,21,6.584809523809524,-5.341714285714285
MY,16,3.912999999999999,108.29137499999999
PP,15,-5.47358,147.20968666666664
GB,20,-0.6356999999999999,11.37975
CK,1,-12.183,96.833
EK,2,2.8274999999999997,9.2545
MO,20,33.704805,-6.452064999999999
PM,10,8.863679999999999,-79.94667
LA,15,17.472326666666667,104.09160666666666
MR,19,19.50368421052632,-12.70463157894737
